procuringEntity.id,ocid,nf016
EC-RUC-1260000220001-20973,ocds-5wno2w-SIEGADPO-CT-115-2021-29112,1
EC-RUC-1560000190001-58415,ocds-5wno2w-RE-EP-EMA-2-2021-337168,1
EC-RUC-0190167453001-3217,ocds-5wno2w-SIE-GADPVP-003-2021-112112,1
EC-RUC-0968589570001-388886,ocds-5wno2w-RE-CTE-001-2020-388886,1
EC-RUC-09685990200016-462861,ocds-5wno2w-LICO-CNELMLG-002-19-462861,1
EC-RUC-1060034160001-378506,ocds-5wno2w-LICO-RPI-017-ED-2020-378506,1
EC-RUC-1360001010001-2896,ocds-5wno2w-LICO-001CP-GADCM2020-2896,1
EC-RUC-0968589570001-388886,ocds-5wno2w-RE-CTE-003-2019-388886,1
EC-RUC-1790053881001-3214,ocds-5wno2w-LICOB-EEQ-GPE01-2019-3214,1
EC-RUC-2160011760001-91883,ocds-5wno2w-CE-20210002055025-114911,1
EC-RUC-0992183721001-71669,ocds-5wno2w-SIE-GADMCO-05-2021-26427,1
EC-RUC-09685990200016-462861,ocds-5wno2w-LICO-CNELMLG-003-19-462861,1
EC-RUC-0190167453001-3217,ocds-5wno2w-SIE-IV-DE-009-2021-102595,1
EC-RUC-0960000220001-44856,ocds-5wno2w-CE-20210002062503-20836,1
EC-RUC-0992183721001-71669,ocds-5wno2w-CE-20210002108046-116482,1
EC-RUC-1360000470001-43412,ocds-5wno2w-SIE-GADPSDT-06-2022-20900,1
EC-RUC-0960001030001-76661,ocds-5wno2w-SIE-HGMYM-176-2021-82169,1
EC-RUC-0960000220001-44856,ocds-5wno2w-RRE-EP-MIMG-001-2019-44856,1
EC-RUC-0160000270001-2616,ocds-5wno2w-MCO-GADMPS-008-2021-21123,1
EC-RUC-1768132370001-24327,ocds-5wno2w-LICO-UPEC-001-2019-24327,1
EC-RUC-0760051840001-699688,ocds-5wno2w-SIE-GADMP-14-2021-27207,1
EC-RUC-1060014480001-128299,ocds-5wno2w-MCB-003-GADPRSI-2020-128299,1
EC-RUC-0760051840001-699688,ocds-5wno2w-SIE-GADPRC-002-2021-51748,1
EC-RUC-0260000250001-89167,ocds-5wno2w-LICO-GADCG-001-2019-89167,1
EC-RUC-1260000140001-2805,ocds-5wno2w-CE-20220002271508-121109,1
EC-RUC-0960000220001-44856,ocds-5wno2w-LICO-MIMG-022-2019-44856,1
EC-RUC-0960001380001-35249,ocds-5wno2w-LICO-GADCS-001-2019-35249,1
EC-RUC-0960000490001-44718,ocds-5wno2w-LICO-GADIMCD-04-2021-44718,1
EC-RUC-0960000220001-44856,ocds-5wno2w-LICO-MIMG-016-2020-44856,1
EC-RUC-0960000220001-44856,ocds-5wno2w-SIE-HGLTGA-079-2021-2812,1
EC-RUC-0160000430001-12403,ocds-5wno2w-LICOA-GADMCG-0001-20-12403,1
EC-RUC-0760000180001-17250,ocds-5wno2w-CE-20220002249508-86907,1
EC-RUC-1790053881001-3214,ocds-5wno2w-LICOB-EEQ-GPE10-2019-3214,1
EC-RUC-0968607140001-873202,ocds-5wno2w-CE-20210002006673-83294,1
EC-RUC-0660001680001-3833,ocds-5wno2w-CDC-EPMTP-001-2021-1032968,1
EC-RUC-1560000780001-2692,ocds-5wno2w-CDC-GADPRP-004-2021-187538,1
EC-RUC-0760000260001-28990,ocds-5wno2w-LICO-GADPN-006-2021-58415,1
EC-RUC-1560000780001-2692,ocds-5wno2w-LICSG-CACES-001-2022-364830,1
EC-RUC-0660001250001-53390,ocds-5wno2w-LICO-ESPOCH-DMF-1-19-53390,1
EC-RUC-1960000460001-43041,ocds-5wno2w-CE-20220002275993-1096812,1
EC-RUC-0560000380001-38760,ocds-5wno2w-CE-20210002117736-54651,1
EC-RUC-0968599020001-462114,ocds-5wno2w-CE-20210002056558-33182,1
EC-RUC-1768012630001-2539,ocds-5wno2w-CE-20220002219234-105568,1
EC-RUC-1768152800001-238940,ocds-5wno2w-LICO-CELTRA-206-20-238940,1
EC-RUC-1260002190001-21126,ocds-5wno2w-CE-20210002040903-77384,1
EC-RUC-0968609000001-1022527,ocds-5wno2w-CE-20220002222555-41357,1
EC-RUC-176000465000166-456943,ocds-5wno2w-LCO-01-IESS-DPG-2019-456943,1
EC-RUC-1260001030001-82943,ocds-5wno2w-RE-SNAI-008-2021-931020,1
EC-RUC-0968599020001-462114,ocds-5wno2w-SIE-HVCM-068-2021-12070,1
EC-RUC-2160000210001-3277,ocds-5wno2w-LICO-GADPS-005-2021.-3277,1
EC-RUC-0960000490001-44718,ocds-5wno2w-CE-20210002063036-2438,1
EC-RUC-0760000260001-28990,ocds-5wno2w-MCO-GADMCEE-003-2021-40764,1
EC-RUC-1760004650001-39594,ocds-5wno2w-RE-GADMSD-0056-2021-19455,1
EC-RUC-0960000220001-44856,ocds-5wno2w-LICO-MIMG-002-2020-44856,1
EC-RUC-0560000380001-38760,ocds-5wno2w-MCS-EPP-2020987-21-253178,1
EC-RUC-1060000260001-2783,ocds-5wno2w-SIE-EECS-DF-087-2021-56835,1
EC-RUC-1060000260001-2783,ocds-5wno2w-MCO-GADMCM-25-2021-2742,1
EC-RUC-0960001540001-4081,ocds-5wno2w-LICO-IMSE-003-2019-4081,1
EC-RUC-0960001540001-4081,ocds-5wno2w-LICO-IMSE-002-2019-4081,1
EC-RUC-0190003809001-56835,ocds-5wno2w-CE-20210002122718-559458,1
EC-RUC-1790053881001-3214,ocds-5wno2w-LICOB-EEQ-GD002-2019-3214,1
EC-RUC-1560000940001-46625,ocds-5wno2w-SIE-07D05AHLLS-01-21-99129,1
EC-RUC-1360001790001-54709,ocds-5wno2w-SIE-HTMC-142-2021-2810,1
EC-RUC-1260000650001-2453,ocds-5wno2w-SIE-EPN-007-2022-45554,1
EC-RUC-1768000970001-92997,ocds-5wno2w-SIE-11-BCB-008-2019-92997,1
EC-RUC-176001321000118-585273,ocds-5wno2w-SIE-SRI-DZ8-2019-07-585273,1
EC-RUC-1768007040001-2504,ocds-5wno2w-RE-CEE-012-2020-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-SIE-CEE-025-2019-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-COTO-MAG-004-2022-2541,1
EC-RUC-1768000620001-95605,ocds-5wno2w-MCO-IDE-04-2019-95605,1
EC-RUC-1768000620001-95605,ocds-5wno2w-MCO-IDE-003-2020-95605,1
EC-RUC-176001321000118-585273,ocds-5wno2w-SIE-SRI-DZ8-24-2019-585273,1
EC-RUC-1768007040001-2504,ocds-5wno2w-SIE-CEE-024-2019-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-RE-CEE-013-2020-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-RE-CEE-016-2019-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-SIE-CEE-026-2019-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-SIE-CEE-028-2019-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-RE-CEE-008-2020-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-SIE-12D03QM-021-2021-560052,1
